trial_id,gamble_id,sure,hi,p,ev_ratio,template_id,safe_first,rep,response_mode,model,temperature,seed,letter,chose_gamble,raw,discarded,latency_s,ts_utc
1058,35,91,133,0.68,0.9938,1,True,2,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.874,2026-07-04T18:59:13+00:00
877,29,79,81,0.83,0.851,1,True,1,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.678,2026-07-04T18:59:14+00:00
498,16,139,234,0.6,1.0101,3,True,0,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.541,2026-07-04T18:59:14+00:00
1082,36,98,227,0.47,1.0887,0,True,2,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.516,2026-07-04T18:59:15+00:00
690,23,91,626,0.23,1.5822,0,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.796,2026-07-04T18:59:16+00:00
295,9,49,153,0.26,0.8118,4,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.94,2026-07-04T18:59:17+00:00
1011,33,142,446,0.53,1.6646,3,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.545,2026-07-04T18:59:17+00:00
38,1,58,116,0.66,1.32,1,True,2,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,1.943,2026-07-04T18:59:19+00:00
402,13,72,88,0.64,0.7822,2,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.642,2026-07-04T18:59:20+00:00
1127,37,151,252,0.68,1.1348,2,False,2,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.654,2026-07-04T18:59:21+00:00
450,15,82,113,0.74,1.0198,0,True,0,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.728,2026-07-04T18:59:22+00:00
397,13,72,88,0.64,0.7822,1,True,1,text,claude-haiku-4-5-20251001,1.0,42,B,1,B,0,0.461,2026-07-04T18:59:22+00:00
524,17,117,362,0.42,1.2995,2,True,2,text,claude-haiku-4-5-20251001,1.0,42,B,1,B,0,0.507,2026-07-04T18:59:23+00:00
811,27,166,433,0.53,1.3825,0,True,1,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,1.677,2026-07-04T18:59:24+00:00
1053,35,91,133,0.68,0.9938,0,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.518,2026-07-04T18:59:25+00:00
202,6,94,101,0.71,0.7629,3,False,1,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.701,2026-07-04T18:59:26+00:00
609,20,186,266,0.63,0.901,1,False,0,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,1.049,2026-07-04T18:59:27+00:00
918,30,149,447,0.26,0.78,3,True,0,text,claude-haiku-4-5-20251001,1.0,42,B,1,B,0,0.578,2026-07-04T18:59:27+00:00
1182,39,178,567,0.32,1.0193,2,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,1.008,2026-07-04T18:59:28+00:00
270,9,49,153,0.26,0.8118,0,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.56,2026-07-04T18:59:29+00:00
11,0,186,984,0.26,1.3755,1,False,2,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.699,2026-07-04T18:59:30+00:00
74,2,162,661,0.26,1.0609,2,True,2,text,claude-haiku-4-5-20251001,1.0,42,A,0,A,0,0.495,2026-07-04T18:59:30+00:00
265,8,62,263,0.33,1.3998,4,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,1.378,2026-07-04T18:59:32+00:00
512,17,117,362,0.42,1.2995,0,True,2,text,claude-haiku-4-5-20251001,1.0,42,A,0,A,0,0.547,2026-07-04T18:59:32+00:00
947,31,51,151,0.29,0.8586,2,False,2,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.556,2026-07-04T18:59:33+00:00
513,17,117,362,0.42,1.2995,0,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.696,2026-07-04T18:59:34+00:00
366,12,164,541,0.38,1.2535,1,True,0,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.753,2026-07-04T18:59:35+00:00
1099,36,98,227,0.47,1.0887,3,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.57,2026-07-04T18:59:35+00:00
398,13,72,88,0.64,0.7822,1,True,2,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.58,2026-07-04T18:59:36+00:00
526,17,117,362,0.42,1.2995,2,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.703,2026-07-04T18:59:37+00:00
958,31,51,151,0.29,0.8586,4,False,1,text,claude-haiku-4-5-20251001,1.0,42,B,0,B,0,0.491,2026-07-04T18:59:37+00:00
1081,36,98,227,0.47,1.0887,0,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.787,2026-07-04T18:59:38+00:00
1133,37,151,252,0.68,1.1348,3,False,2,tool,claude-haiku-4-5-20251001,1.0,42,A,1,{'choice': 'A'},0,0.745,2026-07-04T18:59:39+00:00
16,0,186,984,0.26,1.3755,2,False,1,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,1.482,2026-07-04T18:59:40+00:00
249,8,62,263,0.33,1.3998,1,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.97,2026-07-04T18:59:41+00:00
283,9,49,153,0.26,0.8118,2,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.869,2026-07-04T18:59:42+00:00
144,4,29,71,0.55,1.3466,4,True,0,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.644,2026-07-04T18:59:43+00:00
99,3,46,158,0.33,1.1335,1,False,0,tool,claude-haiku-4-5-20251001,1.0,42,B,0,{'choice': 'B'},0,0.553,2026-07-04T18:59:44+00:00
985,32,131,236,0.57,1.0269,4,True,1,tool,claude-haiku-4-5-20251001,1.0,42,B,1,{'choice': 'B'},0,0.894,2026-07-04T18:59:44+00:00
883,29,79,81,0.83,0.851,2,True,1,tool,claude-haiku-4-5-20251001,1.0,42,A,0,{'choice': 'A'},0,0.523,2026-07-04T18:59:45+00:00
